"","clade","a","t","c","g","n","-","n_a>t","n_a>c","n_a>g","n_t>a","n_t>c","n_t>g","n_c>a","n_c>t","n_c>g","n_g>a","n_g>t","n_g>c","rc>t","nrc>t","rg>a","nrg>a"
"1","G",8891854,9567410,5453738,5837985,46729,92798,283,170,941,155,1090,249,258,4614,67,856,1653,178,4.23302752293578,7.42593609249491,0.909670563230606,1.38552220266827
"2","GH",8881365,9567760,5442567,5825954,49502,98387,227,154,837,183,885,98,271,4224,64,676,1644,179,4.7728813559322,8.39048620293216,0.807646356033453,1.23121502141161
"3","GK",8879511,9559967,5442967,5832720,64006,113416,135,117,818,146,902,133,177,3489,18,743,1517,150,3.86807095343681,6.79383701362041,0.908312958435208,1.38278108770316
"4","GR",8889336,9565341,5437003,5833590,39144,98211,213,105,834,103,924,103,187,4142,19,672,1550,97,4.48268398268398,7.88640375766031,0.805755395683453,1.22782548071482
"5","GRA",8852182,9534747,5401838,5802628,67994,192841,68,173,626,101,762,82,224,2260,62,505,422,79,2.96587926509186,5.23505303661399,0.806709265175719,1.23067293585281
"6","GRY",8897744,9574724,5460413,5843174,25268,110482,119,102,597,88,652,79,93,3099,17,442,949,92,4.75306748466258,8.33440791365386,0.74036850921273,1.12740258302021
"7","GV",8901278,9580757,5460994,5848593,26187,90893,124,86,538,56,636,54,103,2646,50,299,1238,83,4.16037735849057,7.29895775384481,0.555762081784387,0.845843229614637
"8","L",8903040,9570539,5476333,5847738,45856,73050,76,37,295,40,191,29,68,1266,17,161,298,29,6.6282722513089,11.5836889545924,0.545762711864407,0.830910559644992
"9","O",8902957,9577418,5457899,5839330,54869,66500,215,161,647,126,652,153,216,2972,61,616,1077,225,4.55828220858896,7.99878745898736,0.952086553323029,1.45160243461376
"10","S",8897149,9563666,5456376,5835200,39757,96518,189,98,520,51,428,85,72,2220,15,392,846,33,5.18691588785047,9.09136964195564,0.753846153846154,1.14941759560018
"11","V",8887008,9558494,5466358,5840322,71341,94079,51,34,241,38,214,17,31,1065,4,176,364,31,4.97663551401869,8.7021634333014,0.730290456431535,1.11125673013075
