clade,a,t,c,g,n,-,n_a>t,n_a>c,n_a>g,n_t>a,n_t>c,n_t>g,n_c>a,n_c>t,n_c>g,n_g>a,n_g>t,n_g>c,rc>t,nrc>t,rg>a,nrg>a
G,8891854,9567410,5453738,5837985,46729,92798,283,170,941,155,1090,249,258,4614,67,856,1653,178,4.233027523,7.425936092,0.909670563,1.385522203
GH,8881365,9567760,5442567,5825954,49502,98387,227,154,837,183,885,98,271,4224,64,676,1644,179,4.772881356,8.390486203,0.807646356,1.231215021
GK,8879511,9559967,5442967,5832720,64006,113416,135,117,818,146,902,133,177,3489,18,743,1517,150,3.868070953,6.793837014,0.908312958,1.382781088
GR,8889336,9565341,5437003,5833590,39144,98211,213,105,834,103,924,103,187,4142,19,672,1550,97,4.482683983,7.886403758,0.805755396,1.227825481
GRA,8852182,9534747,5401838,5802628,67994,192841,68,173,626,101,762,82,224,2260,62,505,422,79,2.965879265,5.235053037,0.806709265,1.230672936
GRY,8897744,9574724,5460413,5843174,25268,110482,119,102,597,88,652,79,93,3099,17,442,949,92,4.753067485,8.334407914,0.740368509,1.127402583
GV,8901278,9580757,5460994,5848593,26187,90893,124,86,538,56,636,54,103,2646,50,299,1238,83,4.160377358,7.298957754,0.555762082,0.84584323
L,8903040,9570539,5476333,5847738,45856,73050,76,37,295,40,191,29,68,1266,17,161,298,29,6.628272251,11.58368895,0.545762712,0.83091056
O,8902957,9577418,5457899,5839330,54869,66500,215,161,647,126,652,153,216,2972,61,616,1077,225,4.558282209,7.998787459,0.952086553,1.451602435
S,8897149,9563666,5456376,5835200,39757,96518,189,98,520,51,428,85,72,2220,15,392,846,33,5.186915888,9.091369642,0.753846154,1.149417596
V,8887008,9558494,5466358,5840322,71341,94079,51,34,241,38,214,17,31,1065,4,176,364,31,4.976635514,8.702163433,0.730290456,1.11125673
SARS_CoV_2,97783424,105220823,59956486,64187234,530653,1127175,1700,1237,6894,1087,7336,1082,1700,31997,394,5538,11558,1176,4.361641221,7.626782118,0.803307224,1.22376563
HCoV_229E,978370,1233217,580350,776805,606,153076,401,260,756,478,1439,310,283,1151,84,732,383,109,0.799861015,1.699667788,0.968253968,1.219496057
HCoV_HKU1,844638,1212963,387585,577874,87041,192658,41,31,116,37,505,51,45,211,2,137,58,15,0.417821782,1.307590238,1.181034483,1.726235483
HCoV_NL63,940616,1393702,505627,713262,1315,217428,98,35,252,60,557,71,108,532,14,271,158,14,0.955116697,2.632668054,1.075396825,1.418182183
HCoV_OC43,2530454,3246438,1360016,1966069,6420,253499,304,196,610,439,1834,322,297,1940,71,1153,767,140,1.057797165,2.525023905,1.890163934,2.432759424
MERS_CoV,5159303,6383832,3906359,4097904,4599,808899,8185,4827,9440,8679,14011,4856,5859,16332,2873,9236,5310,2809,1.165655556,1.904932251,0.978389831,1.231802792
bovine_CoV,1401453,1799281,754030,1109764,19,77165,443,318,968,403,2353,365,205,1811,53,797,715,153,0.769655759,1.836567488,0.823347107,1.039754645
