"","current_seq_name","a_ratio","c_ratio","g_ratio","t_ratio","date"
"2","hCoV-19/England/TFCI-2705420/2021|EPI_ISL_1000903|2021-01-08",0.298734007186272,0.183451425501192,0.19614493434971,0.321669632962826,"2021-01-08"
"3","hCoV-19/USA/WA-PROV-707/2020|EPI_ISL_1017216|2020-10-29",0.299120136495935,0.183600414840587,0.196179452008966,0.321099996654511,"2020-10-29"
"4","hCoV-19/France/HDF-IPP03229/2021|EPI_ISL_1036388|2021-02-02",0.298612277813246,0.183461577231948,0.196330768455361,0.321595376499446,"2021-02-02"
"5","hCoV-19/Henan/fahzu0010/2020|EPI_ISL_1040034|2020-02-15",0.29861250754072,0.18385950800992,0.196293317246464,0.321234667202896,"2020-02-15"
"6","hCoV-19/Henan/fahzu0019/2020|EPI_ISL_1040040|2020-02-20",0.298958716978605,0.183747949241638,0.196203167375364,0.321090166404393,"2020-02-20"
"7","hCoV-19/Henan/fahzu0033/2020|EPI_ISL_1040046|2020-02-27",0.298605991555526,0.183834863615039,0.196367535687957,0.321191609141478,"2020-02-27"
"8","hCoV-19/Canada/ON-PHL-20-80757/2020|EPI_ISL_10553080|2020-03-15",0.29860318313075,0.183768719360688,0.196460949566852,0.32116714794171,"2020-03-15"
"9","hCoV-19/Canada/ON-PHL-20-80899/2020|EPI_ISL_10553100|2020-03-28",0.298636760459338,0.183701564703512,0.196427372238265,0.321234302598885,"2020-03-28"
"10","hCoV-19/Canada/NS-NML-5160/2020|EPI_ISL_1055475|2020-12-31",0.298781719054991,0.183516187655651,0.196035538803258,0.321666554486101,"2020-12-31"
"11","hCoV-19/Anhui/68/2020|EPI_ISL_1069200|2020-01-30",0.298716530947354,0.183841024094367,0.196273583324956,0.321168861633323,"2020-01-30"
"12","hCoV-19/England/QEUH-12C4249/2021|EPI_ISL_1084571|2021-02-17",0.298804647102277,0.183533678060573,0.196091598952387,0.321570075884763,"2021-02-17"
"13","hCoV-19/USA/MD-HP27518-PIDSJVDZQR/2020|EPI_ISL_10879302|2020-03-07",0.298643147896879,0.183921302578019,0.196099050203528,0.321336499321574,"2020-03-07"
"14","hCoV-19/USA/MD-HP27835-PIDSZYAWGW/2020|EPI_ISL_10879467|2020-03-21",0.298609226594301,0.183853459972863,0.196166892808684,0.321370420624152,"2020-03-21"
"15","hCoV-19/Belgium/rega-3206/2021|EPI_ISL_1094192|2021-01-30",0.298529016657711,0.183369156367544,0.196399785061795,0.32170204191295,"2021-01-30"
"16","hCoV-19/USA/MD-HP28000-PIDOWZRKDI/2020|EPI_ISL_10952575|2020-04-20",0.298457298423688,0.183746176856115,0.196551608241186,0.321244916479011,"2020-04-20"
"17","hCoV-19/England/LOND-132991F/2021|EPI_ISL_1105156|2021-01-31",0.298687787361144,0.183541967312146,0.196093566466423,0.321676678860288,"2021-01-31"
"18","hCoV-19/France/IDF-HMN-21022190457/2021|EPI_ISL_1110203|2021-02-19",0.298480936252976,0.183561919452735,0.19630461755139,0.321652526742899,"2021-02-19"
"19","hCoV-19/USA/AZ-TG724220/2020|EPI_ISL_1113411|2020-05-06",0.298919284025667,0.183755488010807,0.196318811212428,0.321006416751098,"2020-05-06"
"20","hCoV-19/USA/MD-HP28158-PIDRMRSRZY/2020|EPI_ISL_11168633|2020-04-05",0.298643147896879,0.183921302578019,0.196132971506106,0.321302578018996,"2020-04-05"
"21","hCoV-19/USA/IN-NM-10209/2020|EPI_ISL_11254209|2020-04-19",0.298562600752284,0.183738581407845,0.19646695325094,0.321231864588931,"2020-04-19"
"22","hCoV-19/Germany/BW-RKI-I-011073/2021|EPI_ISL_1141201|2021-01-11",0.299090512467698,0.183273483907776,0.196194247743061,0.321441755881465,"2021-01-11"
"23","hCoV-19/Gabon/W0954/2021|EPI_ISL_11522754|2021-02-05",0.299387775584624,0.183533505068415,0.195811448262019,0.321267271084942,"2021-02-05"
"24","hCoV-19/Gabon/K0069/2020|EPI_ISL_11522798|2020-03-21",0.299203640500569,0.183731513083049,0.19604497088938,0.321019875527003,"2020-03-21"
"25","hCoV-19/France/NAQ-HCL021026150301/2021|EPI_ISL_1155709|2021-02-01",0.298680829193079,0.183793044372109,0.196230940551653,0.321295185883159,"2021-02-01"
"26","hCoV-19/France/NAQ-HCL021026160101/2021|EPI_ISL_1155713|2021-02-01",0.298777155349091,0.18332422462085,0.196884820330646,0.321013799699412,"2021-02-01"
"27","hCoV-19/Germany/NW-RKI-I-025987/2021|EPI_ISL_1156171|2021-02-23",0.299170011565413,0.183617933192734,0.196135791550446,0.321076263691408,"2021-02-23"
"28","hCoV-19/USA/ME-HETL-J1839/2021|EPI_ISL_1163650|2021-02-25",0.298759371953065,0.183471741250042,0.196180613925966,0.321588272870928,"2021-02-25"
"29","hCoV-19/Canada/NB-NML-16178/2021|EPI_ISL_1164964|2021-01-28",0.298815373224743,0.183516187655651,0.196001884633506,0.321666554486101,"2021-01-28"
"30","hCoV-19/Uruguay/DLSP_480/2020|EPI_ISL_11683084|2020-04-30",0.298676431066917,0.18365358774523,0.19638538027412,0.321284600913733,"2020-04-30"
"31","hCoV-19/Uruguay/DLSP_1064/2020|EPI_ISL_11683087|2020-04-30",0.298662903984412,0.183665927568367,0.196398575556003,0.321272592891218,"2020-04-30"
"32","hCoV-19/USA/MA-Yale-1672/2020|EPI_ISL_1168394|2020-04-09",0.298420306487545,0.183554985485722,0.196415310875582,0.321609397151151,"2020-04-09"
"33","hCoV-19/Portugal/PT3352/2021|EPI_ISL_1170208|2021-02-09",0.298687787361144,0.183575527737692,0.196093566466423,0.321643118434742,"2021-02-09"
"34","hCoV-19/Spain/CT-HUVH-87661/2021|EPI_ISL_1195232|2021-02-17",0.298981847411079,0.18356889275906,0.196262308259093,0.321186951570768,"2021-02-17"
"35","hCoV-19/USA/MD-HP29444-PIDSVSHZQY/2020|EPI_ISL_11963248|2020-04-08",0.298609226594301,0.183785617367707,0.196166892808684,0.321438263229308,"2020-04-08"
"36","hCoV-19/USA/MD-HP29451-PIDPVWIXFH/2020|EPI_ISL_11963255|2020-04-06",0.298575305291723,0.183989145183175,0.196200814111262,0.32123473541384,"2020-04-06"
"37","hCoV-19/USA/MD-HP29474-PIDNFQRHFS/2020|EPI_ISL_11963279|2020-04-20",0.298609226594301,0.183921302578019,0.196166892808684,0.321302578018996,"2020-04-20"
"38","hCoV-19/Sweden/SE00186559/2021|EPI_ISL_1200143|2021-01-26",0.298548768140398,0.183563955450557,0.195848801889976,0.322038474519069,"2021-01-26"
"39","hCoV-19/USA/TX-HMH-MCoV-17931/2020|EPI_ISL_1203642|2020-11-14",0.298830938264161,0.183767125582019,0.195960205004522,0.321441731149298,"2020-11-14"
"40","hCoV-19/Turkey/HSGM-5873/2021|EPI_ISL_1211639|2021-02-24",0.298520481766028,0.183648136343812,0.196296172040125,0.321535209850035,"2021-02-24"
"41","hCoV-19/USA/MD-HP29855-PIDRALOFUZ/2020|EPI_ISL_12171105|2020-04-09",0.298609226594301,0.184023066485753,0.196132971506106,0.32123473541384,"2020-04-09"
"42","hCoV-19/USA/MD-HP30144-PIDRYKQJSG/2020|EPI_ISL_12171294|2020-04-08",0.298609226594301,0.183921302578019,0.196166892808684,0.321302578018996,"2020-04-08"
"43","hCoV-19/USA/MD-HP30157-PIDWBWYLTQ/2020|EPI_ISL_12171304|2020-04-11",0.298609226594301,0.183887381275441,0.196166892808684,0.321336499321574,"2020-04-11"
"44","hCoV-19/Chile/RM-PUC_MVL_2313/2020|EPI_ISL_12205995|2020-03-07",0.298647102375984,0.18371811267416,0.196304772161271,0.321330012788585,"2020-03-07"
"45","hCoV-19/Panama/GMI-PA342008/2020|EPI_ISL_1225333|2020-04-15",0.298932022376674,0.18369215121207,0.196304458382777,0.321071368028479,"2020-04-15"
"46","hCoV-19/Panama/GMI-PA343860/2020|EPI_ISL_1225345|2020-04-19",0.298709136630344,0.183738474434199,0.196211232187762,0.321341156747695,"2020-04-19"
"47","hCoV-19/Panama/GMI-PA345384/2020|EPI_ISL_1225356|2020-04-21",0.298408084631764,0.183898333727651,0.196065839726907,0.321627741913678,"2020-04-21"
"48","hCoV-19/Panama/GMI-PA357925/2020|EPI_ISL_1225394|2020-05-08",0.298376184032476,0.183660351826793,0.196278755074425,0.321684709066306,"2020-05-08"
"49","hCoV-19/Panama/GMI-PA367215/2020|EPI_ISL_1225428|2020-05-25",0.298652092274678,0.183744635193133,0.196251341201717,0.321351931330472,"2020-05-25"
"50","hCoV-19/Panama/GMI-PA369155/2020|EPI_ISL_1225448|2020-05-28",0.298770729049613,0.183641502366602,0.196036367351108,0.321551401232676,"2020-05-28"
"51","hCoV-19/Panama/GMI-PA370277/2020|EPI_ISL_1225459|2020-05-29",0.298611111111111,0.183555825242718,0.196028856526429,0.321804207119741,"2020-05-29"
"52","hCoV-19/Panama/GMI-PA397028/2020|EPI_ISL_1225486|2020-06-25",0.298299792988767,0.183832762072827,0.196185563511725,0.321681881426681,"2020-06-25"
