"","current_seq_name","a_ratio","c_ratio","g_ratio","t_ratio","date"
"2","hCoV-19/Switzerland/SH-ETHZ-480965/2021|EPI_ISL_1002457|2021-01-07",0.298555484800751,0.183564031236384,0.196199349800583,0.321681134162282,"2021-01-07"
"3","hCoV-19/Switzerland/AG-ETHZ-450590/2021|EPI_ISL_1002465|2021-01-08",0.298565491352728,0.183503150556375,0.196239442284489,0.321691915806408,"2021-01-08"
"4","hCoV-19/Switzerland/SO-ETHZ-450535/2021|EPI_ISL_1002526|2021-01-08",0.298583436589532,0.183516961923579,0.196242590670105,0.321657010816784,"2021-01-08"
"5","hCoV-19/Switzerland/ZH-ETHZ-450538/2021|EPI_ISL_1002562|2021-01-08",0.298805184285136,0.183677602268125,0.195997029836641,0.321520183610099,"2021-01-08"
"6","hCoV-19/Switzerland/ZH-ETHZ-450725/2021|EPI_ISL_1002573|2021-01-08",0.298565491352728,0.183469633999196,0.196339991956026,0.32162488269205,"2021-01-08"
"7","hCoV-19/Switzerland/BL-ETHZ-451128/2021|EPI_ISL_1002857|2021-01-12",0.298565491352728,0.183503150556375,0.196306475398847,0.32162488269205,"2021-01-12"
"8","hCoV-19/Switzerland/VD-ETHZ-460759/2021|EPI_ISL_1003019|2021-01-15",0.298476918947933,0.18347423510467,0.196356682769726,0.32169216317767,"2021-01-15"
"9","hCoV-19/Switzerland/SO-ETHZ-460967/2021|EPI_ISL_1003108|2021-01-17",0.298730169423019,0.18367071979521,0.196436390582371,0.3211627201994,"2021-01-17"
"10","hCoV-19/Switzerland/SO-ETHZ-461238/2021|EPI_ISL_1003318|2021-01-20",0.298686426406197,0.183563489390367,0.196497137083193,0.321252947120242,"2021-01-20"
"11","hCoV-19/Switzerland/BL-ETHZ-441055/2021|EPI_ISL_1004313|2021-01-06",0.298565491352728,0.183570183670733,0.196339991956026,0.321524333020512,"2021-01-06"
"12","hCoV-19/Switzerland/AG-ETHZ-440885/2021|EPI_ISL_1004408|2021-01-04",0.298599007909908,0.183603700227913,0.19617240917013,0.32162488269205,"2021-01-04"
"13","hCoV-19/England/ALDP-11832FC/2021|EPI_ISL_1007559|2021-01-25",0.298613209764615,0.183506262382056,0.196366811054028,0.321513716799302,"2021-01-25"
"14","hCoV-19/Spain/NC-IBV-98013759/2021|EPI_ISL_1007743|2021-01-10",0.298500452883357,0.18336743936395,0.19638364252407,0.321748465228622,"2021-01-10"
"15","hCoV-19/Austria/CeMM2691/2021|EPI_ISL_1008043|2021-01-01",0.29860318313075,0.183466523403398,0.196393794909677,0.321536498556175,"2021-01-01"
"16","hCoV-19/Spain/CT-IBV-98015595/2020|EPI_ISL_1008947|2020-12-31",0.298496946923438,0.183553646916728,0.196369858417768,0.321579547742065,"2020-12-31"
"17","hCoV-19/Spain/CT-IrsiCaixaM001RQ1H5/2021|EPI_ISL_1013089|2021-01-29",0.298551016301067,0.183437311330248,0.196384249010532,0.321627423358154,"2021-01-29"
"18","hCoV-19/Italy/CAM-CRGS-426/2021|EPI_ISL_1013560|2021-01-19",0.298602031580006,0.183278018036139,0.196386067249992,0.321733883133863,"2021-01-19"
"19","hCoV-19/Netherlands/UT-RIVM-11795/2021|EPI_ISL_1014004|2021-01-26",0.298569605802162,0.183533678060573,0.196393794909677,0.321502921227587,"2021-01-26"
"20","hCoV-19/Netherlands/UT-RIVM-12029/2021|EPI_ISL_1014109|2021-02-02",0.298636760459338,0.18343294607481,0.196360217581089,0.321570075884763,"2021-02-02"
"21","hCoV-19/Netherlands/GE-RIVM-11659/2021|EPI_ISL_1014521|2021-01-26",0.298636760459338,0.183332214089047,0.196259485595326,0.321771539856289,"2021-01-26"
"22","hCoV-19/Netherlands/GE-RIVM-11615/2021|EPI_ISL_1014522|2021-01-26",0.298536028473575,0.183500100731986,0.196427372238265,0.321536498556175,"2021-01-26"
"23","hCoV-19/USA/NY-Wadsworth-21008903-01/2021|EPI_ISL_1016433|2021-01-12",0.298997754164851,0.183421043810545,0.196192136224986,0.321389065799618,"2021-01-12"
"24","hCoV-19/Denmark/DCGC-44998/2021|EPI_ISL_1025376|2021-01-04",0.29860318313075,0.183533678060573,0.196427372238265,0.321435766570412,"2021-01-04"
"25","hCoV-19/Denmark/DCGC-45046/2021|EPI_ISL_1025424|2021-01-04",0.29868036667674,0.183506262382056,0.196333232597965,0.321480138343239,"2021-01-04"
"26","hCoV-19/Denmark/DCGC-45084/2021|EPI_ISL_1025462|2021-01-04",0.29860318313075,0.183500100731986,0.196427372238265,0.321469343898999,"2021-01-04"
"27","hCoV-19/Denmark/DCGC-45570/2020|EPI_ISL_1025948|2020-11-23",0.298569605802162,0.183533678060573,0.196427372238265,0.321469343898999,"2020-11-23"
"28","hCoV-19/Netherlands/ZH-RIVM-12826/2021|EPI_ISL_1035262|2021-01-22",0.298536028473575,0.183399368746223,0.196460949566852,0.32160365321335,"2021-01-22"
"29","hCoV-19/Netherlands/ZE-RIVM-12877/2021|EPI_ISL_1035283|2021-02-04",0.298569605802162,0.183399368746223,0.196393794909677,0.321637230541938,"2021-02-04"
"30","hCoV-19/Netherlands/GE-RIVM-12622/2021|EPI_ISL_1035713|2021-02-03",0.298763340674233,0.183499915297306,0.196510249025919,0.321226495002541,"2021-02-03"
"31","hCoV-19/Spain/CL-IBV-98017570/2021|EPI_ISL_1036049|2021-01-25",0.298980481588302,0.183345630156281,0.196290831041653,0.321383057213763,"2021-01-25"
"32","hCoV-19/Italy/ABR-IZSGC-85198/2021|EPI_ISL_1036222|2021-02-12",0.299140151895346,0.183445414701061,0.196058750710964,0.321355682692629,"2021-02-12"
"33","hCoV-19/England/ALDP-119BF18/2021|EPI_ISL_1044222|2021-01-27",0.298613209764615,0.183439105469931,0.19640038951009,0.321547295255364,"2021-01-27"
"34","hCoV-19/Spain/CT-IrsiCaixaR004QZ1D3/2021|EPI_ISL_1046833|2021-02-01",0.298429319371728,0.182942070596183,0.195980408714744,0.322648201317345,"2021-02-01"
"35","hCoV-19/Spain/CT-IrsiCaixaR004QZ1F1/2021|EPI_ISL_1046852|2021-01-29",0.298368689581096,0.183337808807734,0.196495703544576,0.321797798066595,"2021-01-29"
"36","hCoV-19/England/NORT-1B7DFF4/2021|EPI_ISL_1050968|2021-01-16",0.299061976549414,0.183149078726968,0.196180904522613,0.321608040201005,"2021-01-16"
"37","hCoV-19/England/NORW-229218/2021|EPI_ISL_1051489|2021-01-20",0.298589657488247,0.183478844862324,0.196373404969778,0.321558092679651,"2021-01-20"
"38","hCoV-19/Switzerland/GR-ETHZ-471403/2021|EPI_ISL_1059657|2021-01-28",0.298484442060086,0.183442864806867,0.196217811158798,0.321854881974249,"2021-01-28"
"39","hCoV-19/Spain/MD-ISCIII-210739/2021|EPI_ISL_1059943|2021-02-01",0.299140151895346,0.183345043326976,0.196092207835659,0.321422596942019,"2021-02-01"
"40","hCoV-19/Spain/VC-IBV-98016231/2021|EPI_ISL_1060264|2021-01-28",0.298506961919141,0.183526253984231,0.196309344069787,0.321657440026841,"2021-01-28"
"41","hCoV-19/Italy/TAA-IGA-1900476453/2021|EPI_ISL_1063430|2021-02-08",0.298569466313779,0.183691245937887,0.196187476967403,0.321551810780931,"2021-02-08"
"42","hCoV-19/Denmark/DCGC-45839/2021|EPI_ISL_1065349|2021-02-08",0.298579631308552,0.183405527013868,0.19640038951009,0.321614452167489,"2021-02-08"
"43","hCoV-19/Denmark/DCGC-46626/2021|EPI_ISL_1066136|2021-02-15",0.298569605802162,0.18343294607481,0.196393794909677,0.32160365321335,"2021-02-15"
"44","hCoV-19/Denmark/DCGC-47309/2020|EPI_ISL_1066844|2020-12-07",0.29860318313075,0.183567255389161,0.196393794909677,0.321435766570412,"2020-12-07"
"45","hCoV-19/Denmark/DCGC-47578/2021|EPI_ISL_1067113|2021-02-15",0.29860318313075,0.18343294607481,0.196360217581089,0.32160365321335,"2021-02-15"
"46","hCoV-19/Denmark/DCGC-47622/2021|EPI_ISL_1067157|2021-02-08",0.298636760459338,0.183533678060573,0.196259485595326,0.321570075884763,"2021-02-08"
