"","current_seq_name","a_ratio","c_ratio","g_ratio","t_ratio","date"
"2","MZ081377        Betacoronavirus sp. RmYN07 strain bat/Yunnan/RmYN07/2020, complete|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.283576065386297,0.199858733308668,0.209881941407958,0.306683259897077,NA
"3","KU973692        UNVERIFIED: Severe acute respiratory syndrome-related coronavirus|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.283757865338672,0.201386318516774,0.210336821561964,0.30451899458259,NA
"4","OP963575        Bat SARS-like virus BtSY1 ORF1ab polyprotein (ORF1ab), ORF1a envelope protein, membrane glycoprotein M, ORF6 protein, ORF7a protein, ORF7b protein, ORF8 protein, nucleocapsid protein, and ORF10 protein genes, complete cds|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.283399993277989,0.20004705407858,0.208785668672067,0.307767283971364,NA
"5","KJ473815        BtRs-BetaCoV/GX2013, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.286067007304276,0.200027433901444,0.208600528102603,0.305305030691677,NA
"6","KP886809        Bat SARS-like coronavirus YNLF_34C, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.285094212651413,0.199125168236878,0.208344549125168,0.307436069986541,NA
"7","KP886808        Bat SARS-like coronavirus YNLF_31C, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.285026917900404,0.199125168236878,0.208310901749664,0.307537012113055,NA
"8","OK017857        Sarbecovirus sp. isolate YN2020G, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.283692560737416,0.201966898536819,0.208888736593222,0.305451804132543,NA
"9","OK017856        Sarbecovirus sp. isolate YN2020F, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.283757808745795,0.201894693485275,0.208759524953662,0.305587972815267,NA
"10","OK017855        Sarbecovirus sp. isolate YN2020E, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.28387074806769,0.201913582348735,0.208825632469611,0.305390037113964,NA
"11","OK017854        Sarbecovirus sp. isolate YN2020D, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.283846363388722,0.20192045764097,0.208832743121765,0.305400435848543,NA
"12","OK017853        Sarbecovirus sp. isolate YN2020C, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.28387074806769,0.20187953284075,0.208859681977595,0.305390037113964,NA
"13","OK017852        Sarbecovirus sp. isolate YN2020B, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.283943470117487,0.201872978035076,0.208820023837902,0.305363528009535,NA
"14","OK017792        Sarbecovirus sp. isolate GD2017F, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.284998476487118,0.200934421234384,0.209398381690761,0.304668720587737,NA
"15","OK017793        Sarbecovirus sp. isolate YN2020A, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.284783350392358,0.201057659501876,0.209177755032412,0.304981235073354,NA
"16","DQ071615        Bat SARS coronavirus Rp3, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.28739111425016,0.199979820401574,0.208589782396664,0.304039282951603,NA
"17","OK017829        Sarbecovirus sp. isolate GZ2021C, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.284975503538378,0.201109145345672,0.209989112683723,0.303926238432226,NA
"18","OK017831        Sarbecovirus sp. isolate GZ2021I, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.28453762635717,0.201422688131786,0.209965624042749,0.304074061468296,NA
"19","OK017830        Sarbecovirus sp. isolate GZ2021H, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.284087422005524,0.201745712434792,0.209894643526885,0.3042722220328,NA
"20","JX993988        Bat coronavirus Cp/Yunnan2011, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.284462854814614,0.199477115306261,0.209255738150211,0.306804291728915,NA
"21","MZ081382        Betacoronavirus sp. RsYN09 strain bat/Yunnan/RsYN09/2020, complete|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.28494985528707,0.19751632227233,0.208622198290368,0.308911624150232,NA
"22","EPI_ISL_1699449",0.28494985528707,0.19751632227233,0.208622198290368,0.308911624150232,NA
"23","EPI_ISL_1699447",0.283576065386297,0.199858733308668,0.209881941407958,0.306683259897077,NA
"24","EPI_ISL_1699443",0.284657294679491,0.200073989372436,0.208885450998857,0.306383264949216,NA
"25","MZ081379        Betacoronavirus sp. RsYN03 strain bat/Yunnan/RsYN03/2019, complete|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.284657294679491,0.200073989372436,0.208885450998857,0.306383264949216,NA
"26","MK211375        Coronavirus BtRs-BetaCoV/YN2018A, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.285074425809928,0.201690577220987,0.208863743517209,0.304371253451876,NA
"27","MT308984        Mutant SARS coronavirus Urbani clone SARS-Urbani-MA_SHC014-spike,|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.284858882497393,0.200457496551956,0.207992733878292,0.306690887072358,NA
"28","FJ588686        Bat SARS CoV Rs672/2006, complete genome|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus",0.284455762414398,0.201521043394473,0.20940156233869,0.304621631852438,NA
