"","current_seq_name","a_ratio","c_ratio","g_ratio","t_ratio","date"
"2","OR077306.1 |Bovine coronavirus isolate HMsz2207, complete genome",0.273568779229157,0.152878567972908,0.217803580067731,0.355749072730205,NA
"3","OR077307.1 |Bovine coronavirus isolate ZJ2303G, complete genome",0.273472020641832,0.152427027898726,0.217900338655056,0.356200612804386,NA
"4","OR077308.1 |Bovine coronavirus isolate RG23F3, complete genome",0.27443729903537,0.152668810289389,0.217491961414791,0.35540192926045,NA
"5","OR077309.1 |Bovine coronavirus isolate AHFY2302G, complete genome",0.273513095084505,0.152399690362534,0.21787511288866,0.356212101664301,NA
"6","OR077310.1 |Bovine coronavirus isolate YC2304G, complete genome",0.273472020641832,0.152556039348492,0.21757781003064,0.356394129979036,NA
"7","OR077311.1 |Bovine coronavirus isolate XJCJ2301G, complete genome",0.273793749798016,0.152150728759332,0.217561322431568,0.356494199011085,NA
"8","OR077312.1 |Bovine coronavirus isolate HBLF2302, complete genome",0.273337400854179,0.153206383866928,0.217526733245561,0.355929482033332,NA
"9","OR077313.1 |Bovine coronavirus isolate GZBJ2207, complete genome",0.273519948519949,0.152767052767053,0.218018018018018,0.355694980694981,NA
"10","OR077314.1 |Bovine coronavirus isolate HBSJZ2112, complete genome",0.274446835158483,0.152477600436751,0.217669160859372,0.355406403545393,NA
"11","OR077315.1 |Bovine coronavirus isolate HBSJZ2202, complete genome",0.274087180312048,0.151906064018015,0.217854270548496,0.356152485121441,NA
"12","OR077316.1 |Bovine coronavirus isolate JSYZ2209, complete genome",0.273708211567488,0.152477600436751,0.217572818651851,0.35624136934391,NA
"13","OR077317.1 |Bovine coronavirus isolate ZJNB2106, complete genome",0.273258614599056,0.153184109958573,0.218118757827804,0.355438517614567,NA
"14","OR088593.1 |Bovine coronavirus isolate BCoV/YN1LC/2023, complete genome",0.273360642518466,0.152985194981131,0.218172434925652,0.355481727574751,NA
"15","ON544072.1 |Bovine coronavirus isolate DTA28-kidney/2021, complete genome",0.273640814223138,0.152699046637465,0.218017263591858,0.355642875547539,NA
"16","ON544073.1 |Bovine coronavirus isolate DTA28-rectum/2021, complete genome",0.273640814223138,0.152699046637465,0.218017263591858,0.355642875547539,NA
"17","OQ718861.1 |UNVERIFIED: Bovine coronavirus isolate BCoV/SWUN/XHD5/2022, complete genome",0.274040166338932,0.152154991779762,0.217530060281745,0.356274781599562,NA
"18","OQ507475.1 |UNVERIFIED: Bovine coronavirus isolate Nes_2012-01-03, complete genome",0.273829094542759,0.152628694839313,0.217773909679915,0.355768300938014,"2012-01-03"
"19","OP004056.2 |Bovine coronavirus isolate CH-4-22-01, complete genome",0.2744700045106,0.151942779818287,0.217894194213545,0.355693021457568,NA
"20","OP924545.1 |Bovine coronavirus isolate BCoV/NMG1/2022, complete genome",0.273572120038722,0.152404001290739,0.21784446595676,0.356179412713779,NA
"21","OP866726.1 |Bovine coronavirus isolate BCoV_China/BCoV cattle_B277b/2021, complete genome",0.273861328691616,0.152886568030171,0.217806143828772,0.355445959449441,NA
"22","OP866727.1 |Bovine coronavirus isolate BCoV_China/BCoV cattle_F226/2021, complete genome",0.273699813108204,0.152606818328285,0.218051169684862,0.355642198878649,NA
"23","OP866728.1 |Bovine coronavirus isolate BCoV_China/BCoV cattle_B298/2021, complete genome",0.27422368251514,0.152235536657647,0.217433320448396,0.356107460378817,NA
"24","OP866729.1 |Bovine coronavirus isolate BCoV_China/BCoV cattle_B277a/2021, complete genome",0.273893149448991,0.152832377392537,0.217890056067539,0.355384417090933,NA
"25","OP296992.1 |Bovine coronavirus isolate p95, complete genome",0.273910801753029,0.152101056973447,0.218323021397267,0.355665119876257,NA
"26","ON142315.1 |Bovine coronavirus isolate BCoV1/2021/CHN, complete genome",0.273252063983488,0.152605779153767,0.217911506707946,0.356230650154799,NA
"27","ON142316.1 |Bovine coronavirus isolate BCoV3/2021/CHN, complete genome",0.273621412447598,0.152660432118671,0.217865204772654,0.355852950661077,NA
"28","ON142317.1 |Bovine coronavirus isolate BCoV4/2021/CHN, complete genome",0.2735045492676,0.152577918306769,0.217816351551913,0.356101180873718,NA
"29","ON142318.1 |UNVERIFIED: Bovine coronavirus isolate BCoV5/2021/CHN, complete genome",0.273501241575027,0.152826598729401,0.217936728046696,0.355735431648876,NA
"30","ON142319.1 |Bovine coronavirus isolate BCoV6/2021/CHN, complete genome",0.273266114744065,0.152498147730567,0.218052378958219,0.356183358567149,NA
"31","ON142320.1 |Bovine coronavirus isolate BCoV7/2021/CHN, complete genome",0.273316563467492,0.152670278637771,0.217943756449948,0.356069401444788,NA
"32","ON792941.1 |Bovine coronavirus strain ABGEB0-52, complete genome",0.274893234434704,0.15271489580323,0.216806344925023,0.355585524837042,NA
"33","ON792942.1 |Bovine coronavirus strain ABGEB0-54, complete genome",0.274048063913408,0.152535274788996,0.217576187101347,0.35584047419625,NA
"34","ON792943.1 |Bovine coronavirus strain ABGEB0-56, complete genome",0.274233049755091,0.152455529775715,0.217162928589843,0.35614849187935,NA
"35","ON792944.1 |Bovine coronavirus strain ABGEB0-59, complete genome",0.27450917075691,0.152060191165074,0.217708602428313,0.355722035649703,NA
"36","ON792945.1 |Bovine coronavirus strain ABGEB0-62, complete genome",0.274859046642747,0.152838288057406,0.217228344438749,0.355074320861097,NA
"37","ON792946.1 |Bovine coronavirus strain ABGEB0-66, complete genome",0.274687087744136,0.152257151130989,0.217317159496766,0.355738601628109,NA
"38","ON792947.1 |Bovine coronavirus strain ABGEB0-70, complete genome",0.274427738965262,0.152441969028685,0.217121148707382,0.35600914329867,NA
"39","ON792948.1 |Bovine coronavirus strain ABGEB0-72, complete genome",0.274638379942141,0.152876888460302,0.217197042751527,0.35528768884603,NA
"40","ON792949.1 |Bovine coronavirus strain ABGEB0-74, complete genome",0.2744385095566,0.152551644249952,0.217356329236116,0.355653516957333,NA
"41","ON792950.1 |Bovine coronavirus strain ABGEB0-78, complete genome",0.274752555050456,0.152400296611536,0.217300190218267,0.355546958119741,NA
"42","ON792951.1 |Bovine coronavirus strain ABGEB0-79, complete genome",0.274372182871861,0.152124919510625,0.217482292337411,0.356020605280103,NA
"43","ON792952.1 |Bovine coronavirus strain ABGEB0-81, complete genome",0.274450584757743,0.152647474617658,0.217581287752217,0.355320652872381,NA
"44","ON792953.1 |Bovine coronavirus strain ABGEB0-88, complete genome",0.274749686101542,0.152441969028685,0.217056759280126,0.355751585589646,NA
"45","ON792954.1 |Bovine coronavirus strain ABGEB0-110, complete genome",0.274539482158959,0.152260723946928,0.217312894499549,0.355886899394564,NA
"46","ON792955.1 |Bovine coronavirus strain ABGEB0-116, complete genome",0.274355346923027,0.152305317985982,0.217381518873384,0.355957816217607,NA
"47","ON792956.1 |Bovine coronavirus strain ABGEB0-122, complete genome",0.274290683069788,0.152040191942288,0.217706354062671,0.355962770925252,NA
"48","ON792957.1 |Bovine coronavirus strain ABGEB0-128, complete genome",0.274231678486998,0.152045079180025,0.217753165581787,0.35597007675119,NA
"49","ON792958.1 |Bovine coronavirus strain ABGEBB-78, complete genome",0.274123658000259,0.152276548958738,0.217694994179278,0.355904798861726,NA
"50","ON792959.1 |Bovine coronavirus strain ABGEBB-108, complete genome",0.274238762687289,0.152376349283068,0.217431931690027,0.355952956339617,NA
"51","ON792960.1 |Bovine coronavirus strain ABGEBB-110, complete genome",0.274468221836643,0.152271704903284,0.217531007004691,0.355729066255382,NA
"52","ON792961.1 |Bovine coronavirus strain ABGEBB-115, complete genome",0.274532485058801,0.152368099736521,0.217273954116059,0.355825461088619,NA
"53","ON792962.1 |Bovine coronavirus strain ABGEBB-129, complete genome",0.274213836477987,0.152394775036284,0.217287534268666,0.356103854217062,NA
"54","ON792963.1 |Bovine coronavirus strain ABGEDB-205, complete genome",0.274542106793294,0.15204961721097,0.217495235326421,0.355913040669316,NA
"55","ON792964.1 |Bovine coronavirus strain ABGEDB-260, complete genome",0.274150931236708,0.152349036540568,0.217277824321712,0.356222207901012,NA
"56","ON093194.1 |Bovine coronavirus strain BCoV2/2021/CHN, complete genome",0.273513373987675,0.152550575936502,0.217791114122544,0.35614493595328,NA
"57","ON146444.1 |Bovine coronavirus strain MARC/BRCV_2014, complete genome",0.273471756512768,0.152921072994583,0.21811323188032,0.355493938612329,NA
"58","LC642814.1 |Bovine coronavirus BoCoV GF2020 RNA, complete genome",0.273319361599226,0.152700306303402,0.217991294534902,0.35598903756247,NA
"59","MW711287.1 |Bovine coronavirus isolate SWUN/NMG-D10/2020, complete genome",0.27328431372549,0.152476780185759,0.21797600619195,0.356262899896801,NA
"60","MN982198.1 |Bovine coronavirus isolate BCOV-China/SWUN/A1/2018, complete genome",0.273615320136695,0.152105229221742,0.218002450190212,0.356277000451351,NA
"61","MN982199.1 |Bovine coronavirus isolate BCOV-China/SWUN/A10/2018, complete genome",0.273881655279103,0.152120665205621,0.21796441923424,0.356033260281036,NA
"62","LC494126.1 |Bovine coronavirus GIF-1 RNA, complete genome",0.27301218054344,0.152305256696068,0.217892798294078,0.356789764466415,NA
"63","LC494127.1 |Bovine coronavirus IWT-9 RNA, complete genome",0.2731737262124,0.152692966301573,0.217763561758909,0.356369745727117,NA
"64","LC494128.1 |Bovine coronavirus IWT-10 RNA, complete genome",0.272888802739549,0.152904309620728,0.218033210570524,0.356173677069199,NA
"65","LC494129.1 |Bovine coronavirus IWT-1 RNA, complete genome",0.273485485226611,0.152485937803065,0.217947889054115,0.356080687916209,NA
"66","LC494130.1 |Bovine coronavirus IWT-2 RNA, complete genome",0.273211862764102,0.152161271564257,0.217936292563158,0.356690573108484,NA
"67","LC494131.1 |Bovine coronavirus IWT-3 RNA, complete genome",0.273073816830884,0.152705540300436,0.218058471975448,0.356162170893232,NA
"68","LC494132.1 |Bovine coronavirus IWT-4 RNA, complete genome",0.273114944756736,0.152678167603541,0.218000904568069,0.356205983071655,NA
"69","LC494133.1 |Bovine coronavirus IWT-5 RNA, complete genome",0.273373392776378,0.152128965561801,0.21758092653615,0.35691671512567,NA
"70","LC494134.1 |Bovine coronavirus IWT-6 RNA, complete genome",0.273076798811024,0.152369874963652,0.21792510742787,0.356628218797454,NA
"71","LC494135.1 |Bovine coronavirus IWT-7 RNA, complete genome",0.273452900306996,0.151494587170787,0.217579576668282,0.357472935853934,NA
"72","LC494136.1 |Bovine coronavirus IWT-8 RNA, complete genome",0.273455932258169,0.15141721340616,0.217607704986911,0.357519149348761,NA
"73","LC494137.1 |Bovine coronavirus IWT-11 RNA, complete genome",0.273270653613777,0.152660657167781,0.218118962230623,0.355949726987819,NA
"74","LC494138.1 |Bovine coronavirus IWT-12 RNA, complete genome",0.273179556761646,0.152807391613362,0.218000904568069,0.356012147056923,NA
"75","LC494139.1 |Bovine coronavirus IWT-13 RNA, complete genome",0.273285501906793,0.152931290802146,0.217859220477022,0.355923986814039,NA
