"","current_seq_name","a_ratio","c_ratio","g_ratio","t_ratio","date"
"2","hCoV-19/USA/TN-ASC-210505704/2021|EPI_ISL_10082211|2021-12-28",0.298385185686719,0.183181556586208,0.196350587359085,0.322082670367988,"2021-12-28"
"3","hCoV-19/Northern_Ireland/NIRE-003feb/2021|EPI_ISL_10131734|2021-06-24",0.299060666689274,0.183424327715419,0.196412221506324,0.321102784088982,"2021-06-24"
"4","hCoV-19/Northern_Ireland/NIRE-01229e/2021|EPI_ISL_10157915|2021-09-14",0.298599213947395,0.18324431455541,0.196278007323054,0.321878464174141,"2021-09-14"
"5","hCoV-19/Northern_Ireland/NIRE-0141ee/2021|EPI_ISL_10163029|2021-10-21",0.298585382283597,0.183125631525766,0.196194004715392,0.322094981475244,"2021-10-21"
"6","hCoV-19/Northern_Ireland/NIRE-01547a/2021|EPI_ISL_10166595|2021-09-25",0.298478895940365,0.183204056277492,0.196299654141903,0.32201739364024,"2021-09-25"
"7","hCoV-19/Northern_Ireland/NIRE-0154a3/2021|EPI_ISL_10166630|2021-11-13",0.29860318313075,0.183231482103284,0.196192330938151,0.321973003827815,"2021-11-13"
"8","hCoV-19/France/PAC-CERBAHC-12260837/2021|EPI_ISL_10345422|2021-12-27",0.298603651987111,0.183270676691729,0.196059344790548,0.322066326530612,"2021-12-27"
"9","hCoV-19/England/DHSC-CYDAIG9/2021|EPI_ISL_10447420|2021-12-22",0.29837622961865,0.183128958361407,0.196199973049454,0.322294838970489,"2021-12-22"
"10","hCoV-19/USA/OR-OHSU-213502349/2021|EPI_ISL_10493909|2021-11-20",0.298539678257057,0.183400222589457,0.196384607601767,0.321675491551718,"2021-11-20"
"11","hCoV-19/Finland/THL-202135245/2021|EPI_ISL_10552167|2021-12-30",0.298758415372645,0.182854629723604,0.196454548530059,0.321932406373693,"2021-12-30"
"12","hCoV-19/Sweden/21170787P/2021|EPI_ISL_10620845|2021-12-13",0.298665146230212,0.183357928628924,0.196136302656292,0.321840622484572,"2021-12-13"
"13","hCoV-19/England/PHEC-YYN9C8F/2022|EPI_ISL_10883615|2022-02-21",0.298554135843981,0.183288500336247,0.196301277740417,0.321856086079354,"2022-02-21"
"14","hCoV-19/USA/NE-COPH-M44180/2021|EPI_ISL_10910331|2021-09-20",0.29860947442847,0.183293491801623,0.196256018315882,0.321841015454025,"2021-09-20"
"15","hCoV-19/Spain/CT-M079CD1C1/2021|EPI_ISL_10931919|2021-07-12",0.298649375083994,0.183140706894235,0.196344577341755,0.321865340680016,"2021-07-12"
"16","hCoV-19/USA/CA-CDPH-500033775/2021|EPI_ISL_11043648|2021-11-14",0.298699557581445,0.183302051213299,0.19617240917013,0.321825982035125,"2021-11-14"
"17","hCoV-19/France/HDF-BL-7730157281/2021|EPI_ISL_11231483|2021-11-27",0.298582348385359,0.1829814459373,0.196316126208034,0.322120079469307,"2021-11-27"
"18","hCoV-19/France/HDF-BL-7726890432/2021|EPI_ISL_11257749|2021-07-28",0.29848591667506,0.183301440225602,0.196360828549367,0.321851814549971,"2021-07-28"
"19","hCoV-19/France/HDF-AG-2108120084/2021|EPI_ISL_11403119|2021-08-09",0.298467420101278,0.183305945873436,0.196183641302525,0.322042992722761,"2021-08-09"
"20","hCoV-19/USA/CA-OC-FG-203397/2021|EPI_ISL_11410406|2021-11-25",0.298500452883357,0.183468080110034,0.196148814116542,0.321882652890067,"2021-11-25"
"21","hCoV-19/USA/VA-VTVAS3-GSC29106/2021|EPI_ISL_11412411|2021-12-20",0.298599213947395,0.183143538580402,0.196278007323054,0.321979240149148,"2021-12-20"
"22","hCoV-19/USA/OH-6168/2021|EPI_ISL_11496382|2021-11-26",0.298728315941348,0.183437908935342,0.19615474952186,0.32167902560145,"2021-11-26"
"23","hCoV-19/France/IDF-LBZCentre-AB2112130068/2021|EPI_ISL_11538448|2021-12-13",0.298492802709568,0.183539373412362,0.196172734970364,0.321795088907705,"2021-12-13"
"24","hCoV-19/France/BFC-LBZ-V319R80455/2021|EPI_ISL_11606561|2021-12-16",0.298458410977469,0.183533796374725,0.196205319329155,0.321802473318652,"2021-12-16"
"25","hCoV-19/France/BFC-BFC-840PM8713271974/2021|EPI_ISL_11825726|2021-11-23",0.298606681215377,0.18331374853114,0.196239717978848,0.321839852274635,"2021-11-23"
