"","variable"
"1",36
"2",40
"3",40
"4",40
"5",40
"6",40
"7",40
"8",40
"9",40
"10",40
"11",40
"12",44
"13",44
"14",44
"15",44
"16",44
"17",44
"18",44
"19",44
"20",44
"21",44
"22",44
"23",44
"24",44
"25",64
"26",64
"27",64
"28",64
"29",64
"30",64
"31",64
"32",64
"33",64
"34",66
"35",66
"36",66
"37",66
"38",66
"39",66
"40",66
"41",66
"42",66
"43",66
"44",66
"45",66
"46",66
"47",66
"48",66
"49",66
"50",66
"51",66
"52",66
"53",66
"54",66
"55",66
"56",66
"57",66
"58",66
"59",66
"60",66
"61",66
"62",66
"63",66
"64",66
"65",66
"66",66
"67",66
"68",66
"69",66
"70",66
"71",66
"72",66
"73",66
"74",66
"75",66
"76",66
"77",66
"78",66
"79",66
"80",66
"81",66
"82",66
"83",66
"84",66
"85",66
"86",84
"87",84
"88",84
"89",84
"90",84
"91",84
"92",84
"93",84
"94",84
"95",92
"96",92
"97",92
"98",96
"99",98
"100",100
"101",100
"102",100
"103",100
"104",100
"105",100
"106",100
"107",100
"108",100
"109",100
"110",100
"111",100
"112",100
"113",100
"114",100
"115",100
"116",100
"117",100
"118",100
"119",100
"120",100
"121",100
"122",100
"123",100
"124",103
"125",106
"126",106
"127",106
"128",106
"129",106
"130",106
"131",106
"132",106
"133",106
"134",106
"135",106
"136",106
"137",106
"138",106
"139",106
"140",106
"141",106
"142",106
"143",106
"144",106
"145",106
"146",106
"147",106
"148",106
"149",110
"150",110
"151",110
"152",110
"153",121
"154",121
"155",121
"156",123
"157",125
"158",140
"159",140
"160",140
"161",140
"162",140
"163",140
"164",140
"165",140
"166",140
"167",140
"168",140
"169",140
"170",140
"171",140
"172",140
"173",140
"174",147
"175",147
"176",147
"177",147
"178",147
"179",147
"180",147
"181",147
"182",147
"183",147
"184",147
"185",157
"186",162
"187",162
"188",162
"189",162
"190",171
"191",173
"192",173
"193",173
"194",175
"195",176
"196",176
"197",179
"198",180
"199",180
"200",180
"201",180
"202",183
"203",185
"204",185
"205",185
"206",185
"207",185
"208",185
"209",186
"210",186
"211",186
"212",186
"213",186
"214",186
"215",186
"216",186
"217",186
"218",186
"219",186
"220",186
"221",186
"222",186
"223",186
"224",186
"225",186
"226",186
"227",186
"228",186
"229",186
"230",186
"231",186
"232",186
"233",186
"234",186
"235",186
"236",186
"237",186
"238",186
"239",186
"240",190
"241",190
"242",190
"243",192
"244",193
"245",193
"246",193
"247",193
"248",193
"249",193
"250",193
"251",193
"252",193
"253",193
"254",196
"255",196
"256",202
"257",202
"258",202
"259",202
"260",202
"261",202
"262",202
"263",202
"264",203
"265",203
"266",203
"267",203
"268",203
"269",203
"270",203
"271",203
"272",203
"273",203
"274",203
"275",203
"276",203
"277",203
"278",203
"279",203
"280",203
"281",203
"282",203
"283",203
"284",203
"285",203
"286",203
"287",203
"288",203
"289",203
"290",203
"291",203
"292",203
"293",203
"294",203
"295",203
"296",203
"297",203
"298",206
"299",206
"300",206
"301",206
"302",206
"303",206
"304",207
"305",207
"306",207
"307",207
"308",207
"309",214
"310",217
"311",217
"312",217
"313",217
"314",218
"315",218
"316",218
"317",221
"318",221
"319",221
"320",221
"321",221
"322",221
"323",221
"324",221
"325",221
"326",221
"327",221
"328",222
"329",222
"330",222
"331",222
"332",222
"333",222
"334",222
"335",222
"336",222
"337",222
"338",222
"339",222
"340",222
"341",222
"342",222
"343",222
"344",222
"345",222
"346",222
"347",222
